optimizer,step,loss,wall_time_s,images_per_s
adamw,1,2.360354423522949,0.45091799600049853,283.86536162965314
adamw,2,2.2115752696990967,0.46139266599857365,554.8419358724515
adamw,3,2.164247989654541,0.4730519559998356,811.7501579469919
adamw,4,2.208341121673584,0.48190735900061554,1062.444867125065
adamw,5,2.253228187561035,0.49115162099769805,1303.0599363592441
adamw,6,2.095946788787842,0.504775511999469,1521.4684186201328
adamw,7,2.2075350284576416,0.5123841290005657,1748.688043378117
adamw,8,2.1491005420684814,0.5241739869998128,1953.549823906782
adamw,9,2.0663089752197266,0.5391661319990817,2136.6327215856395
adamw,10,2.1665563583374023,0.5483588579991192,2334.237846855491
adamw,11,2.06050181388855,0.560387178997189,2512.5485606569573
adamw,12,2.073086977005005,0.5708038409975416,2690.9419483156835
adamw,13,1.995181679725647,0.5831667169986758,2853.3864356387444
adamw,14,2.0682730674743652,0.5914660929993261,3029.7594760043867
adamw,15,2.019911289215088,0.6045608649983478,3175.8588938853113
adamw,16,1.9627352952957153,0.6141441479994683,3334.7219975493003
adamw,17,2.0834922790527344,0.6235663829975238,3489.6044099424153
adamw,18,2.0241289138793945,0.6340055069995287,3634.037834945356
adamw,19,2.0086073875427246,0.6461969629999658,3763.558387383088
adamw,20,1.9885951280593872,0.6545821409999917,3910.891910508192
adamw,21,1.9985194206237793,0.6680082069979107,4023.9026584420494
adamw,22,2.0227103233337402,0.6751416639999661,4170.976478204938
adamw,23,1.943175196647644,0.6885582169998088,4275.60070784954
adamw,24,1.981003761291504,0.6940706280001905,4426.062530338277
adamw,25,2.0247623920440674,0.7061064099980285,4531.894845720115
adamw,26,2.0263030529022217,0.7169735370007402,4641.7333810139835
adamw,27,2.0172152519226074,0.7277487280007335,4748.891845533417
adamw,28,1.9770071506500244,0.7342914469991229,4880.895746024236
adamw,29,1.9629402160644531,0.744081863998872,4988.698394086417
adamw,30,1.8806166648864746,0.7544311589990684,5089.927628512413
adamw,31,1.9830455780029297,0.763899458997912,5194.400851134581
adamw,32,1.9733951091766357,0.7745394329976989,5288.304023653459
adamw,33,1.866775631904602,0.7822505369986175,5399.8045385905125
adamw,34,1.9142413139343262,0.7921283180003229,5494.05936021369
adamw,35,2.0570223331451416,0.8040118659992004,5572.0570671334535
adamw,36,1.922405481338501,0.8118025500007207,5676.257114486656
adamw,37,1.8531694412231445,0.8211854500004847,5767.272179502455
adamw,38,1.9652081727981567,0.8303492669983825,5857.775990557327
adamw,39,1.9054865837097168,0.842243019000307,5927.030426355105
adamw,40,1.9168927669525146,0.8503691259975312,6020.91473393269
muon,1,2.360354423522949,0.4450478770013433,287.6095058860682
muon,2,2.2161660194396973,0.4794257440007641,533.9721598254265
muon,3,2.12058687210083,0.5053156549984124,759.9210438101437
muon,4,2.198561429977417,0.5265317150006013,972.4010641968933
muon,5,2.1981985569000244,0.5546955809986684,1153.7860078995948
muon,6,2.0348401069641113,0.575061370000185,1335.5096343886792
muon,7,2.1948606967926025,0.5941436450011679,1508.0528211292049
muon,8,2.148271083831787,0.6108255190010823,1676.4198091700646
muon,9,2.0132224559783936,0.6387786449995474,1803.4416288303066
muon,10,2.092189311981201,0.6589351740003622,1942.5279610271593
muon,11,1.984908103942871,0.6910514699993655,2037.474864211334
muon,12,2.01530122756958,0.7142708749997837,2150.4446754887845
muon,13,1.8685054779052734,0.7357594159984728,2261.608840903307
muon,14,1.9841084480285645,0.7763531189993955,2308.2279907751554
muon,15,1.968909502029419,0.7918790529984108,2424.6126889327547
muon,16,1.9033682346343994,0.8146700600009353,2513.9011491322617
muon,17,2.0300416946411133,0.8336694440004067,2610.147242003197
muon,18,1.8762483596801758,0.8517546080001921,2705.0044441901987
muon,19,1.8811461925506592,0.8667402309984027,2805.9156746405624
muon,20,1.8936333656311035,0.8894149990010192,2878.2964115461996
muon,21,1.8578698635101318,0.9174017469995306,2930.0140410582576
muon,22,1.9863262176513672,0.9336495850002393,3016.1208715144217
muon,23,1.8334944248199463,0.9630333169989171,3057.007424389358
muon,24,1.8174903392791748,0.9822628799993254,3127.472352413551
muon,25,1.9511361122131348,1.0068485269985104,3178.2337801490717
muon,26,1.9276514053344727,1.0227105599988136,3254.097620742139
muon,27,1.8993339538574219,1.0482167240006675,3297.0281058001888
muon,28,1.893697738647461,1.0650571529986337,3365.077629786688
muon,29,1.951212763786316,1.0825324110010115,3428.996639987467
muon,30,1.7820541858673096,1.1027998350000416,3482.046222830506
muon,31,1.828249454498291,1.124856759000977,3527.5602588938646
muon,32,1.8050849437713623,1.1394764930009842,3594.633171600199
muon,33,1.8133635520935059,1.1601160550017084,3641.0150362015115
muon,34,1.7943084239959717,1.1784835069993278,3692.8815500194205
muon,35,1.991358995437622,1.1968748619983671,3743.081371531147
muon,36,1.8905868530273438,1.223752220001188,3765.468143539324
muon,37,1.7194619178771973,1.2391188549991057,3822.0708053090016
muon,38,1.980934977531433,1.258177052000974,3865.910598404583
muon,39,1.7664110660552979,1.2819871979991149,3893.9546415060586
muon,40,1.8291685581207275,1.3031455439995625,3928.9548458922704
newton_muon,1,2.360354423522949,0.42489606800154434,301.2501400684526
newton_muon,2,2.2161660194396973,0.44422502700035693,576.2845054648268
newton_muon,3,2.12058687210083,0.4649734910017287,825.8535323652942
newton_muon,4,2.198561429977417,0.491149140001653,1042.4532149201702
newton_muon,5,2.1981985569000244,0.5150078700025915,1242.6994562175905
newton_muon,6,2.0348401069641113,0.5318702460026543,1443.9612025151098
newton_muon,7,2.1948606967926025,0.5554750980008976,1613.033605331039
newton_muon,8,2.148271083831787,0.574483077001787,1782.4720013411547
newton_muon,9,2.0132224559783936,0.5971908270003041,1929.0316393279318
newton_muon,10,2.092189311981201,0.615427491000446,2079.855090514753
newton_muon,11,1.984908103942871,0.637133072999859,2209.8994066822074
newton_muon,12,2.01530122756958,0.6580911940000078,2334.0230259941477
newton_muon,13,1.8685054779052734,0.6837595750002947,2433.6039462398503
newton_muon,14,1.9841084480285645,0.709099846000754,2527.1476366927523
newton_muon,15,1.968909502029419,0.7269244000017352,2641.2650338816757
newton_muon,16,1.9033682346343994,0.8134263179999834,2517.744944662636
newton_muon,17,2.029146671295166,0.8387950030009961,2594.197619459848
newton_muon,18,1.8804482221603394,0.8572291350028536,2687.729459862946
newton_muon,19,1.8621314764022827,0.8836973300021782,2752.0734955643757
newton_muon,20,1.8561304807662964,0.9030591000009736,2834.8089288920737
newton_muon,21,1.836531639099121,0.9223598650023632,2914.2638377843045
newton_muon,22,2.004288673400879,0.9393812110029103,2997.718037167848
newton_muon,23,1.838804841041565,0.96097240400195,3063.563519347457
newton_muon,24,1.8494572639465332,0.9807933890006097,3132.1581430419797
newton_muon,25,1.9061689376831055,0.9993041540001286,3202.228257723812
newton_muon,26,1.9132331609725952,1.0197042940017127,3263.691267729829
newton_muon,27,1.9085540771484375,1.044477564002591,3308.8312464617256
newton_muon,28,1.8949806690216064,1.0628412229998503,3372.0935191845724
newton_muon,29,1.9469841718673706,1.081718022000132,3431.57821586109
newton_muon,30,1.7259540557861328,1.1019882620021235,3484.6106191942363
newton_muon,31,1.8205355405807495,1.121032777002256,3539.5932049469548
newton_muon,32,1.8220603466033936,1.1516079400025774,3556.7660292363325
newton_muon,33,1.8395261764526367,1.1741646810005477,3597.4510802016107
newton_muon,34,1.7619619369506836,1.2010744159997557,3623.4224474571483
newton_muon,35,2.0072638988494873,1.2251149420008005,3656.799738874683
newton_muon,36,1.8406455516815186,1.2431604850025906,3706.681523094259
newton_muon,37,1.7077066898345947,1.2635609050012135,3748.1374908441408
newton_muon,38,1.9440414905548096,1.2820194539999648,3794.014189741097
newton_muon,39,1.754396915435791,1.3073009649997402,3818.5545131919885
newton_muon,40,1.8505172729492188,1.3257319200019992,3862.017594018766
